"","method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"1","mmm","glm",5000,25,0.1,8,2,0.001,0,0,0,46,46,4954,10,10,0
"2","mmm","glm",5000,50,0.1,8,2,0.001,0,0,0,104,103,4897,24,24,0
"3","mmm","glm",5000,100,0.1,8,2,0.001,0,0,0,137,134,4866,33,33,0
"4","mmm","glm",5000,25,0.1,2,8,0.001,0,0,0,10,10,4990,54,54,0
"5","mmm","glm",5000,50,0.1,2,8,0.001,0,0,0,23,23,4977,103,101,0
"6","mmm","glm",5000,100,0.1,2,8,0.001,0,0,0,37,37,4963,133,132,0
"7","mmm","glm",5000,25,0.1,8,2,0.025,0,0,0,48,47,4953,34,34,0
"8","mmm","glm",5000,50,0.1,8,2,0.025,0,0,0,97,97,4903,60,60,0
"9","mmm","glm",5000,100,0.1,8,2,0.025,0,0,0,145,142,4858,139,138,1
"10","mmm","glm",5000,25,0.1,2,8,0.025,0,0,0,8,8,4992,114,114,0
"11","mmm","glm",5000,50,0.1,2,8,0.025,0,0,0,28,28,4972,253,248,0
"12","mmm","glm",5000,100,0.1,2,8,0.025,0,0,0,31,31,4969,553,520,0
"13","mmm","glm",5000,25,0.1,8,2,0.05,0,0,0,45,45,4955,75,75,0
"14","mmm","glm",5000,50,0.1,8,2,0.05,0,0,0,97,96,4904,224,219,5
"15","mmm","glm",5000,100,0.1,8,2,0.05,0,0,0,149,145,4855,589,572,17
"16","mmm","glm",5000,25,0.1,2,8,0.05,0,0,0,6,6,4994,276,271,0
"17","mmm","glm",5000,50,0.1,2,8,0.05,0,0,0,21,21,4979,878,822,0
"18","mmm","glm",5000,100,0.1,2,8,0.05,0,0,0,41,41,4959,2189,1821,0
"19","mmm","glm",5000,25,0.1,8,2,0.075,0,0,0,38,38,4962,240,238,2
"20","mmm","glm",5000,50,0.1,8,2,0.075,0,0,0,81,79,4921,648,626,22
"21","mmm","glm",5000,100,0.1,8,2,0.075,0,0,0,142,141,4859,1831,1652,179
"22","mmm","glm",5000,25,0.1,2,8,0.075,0,0,0,10,10,4990,799,742,0
"23","mmm","glm",5000,50,0.1,2,8,0.075,0,0,0,28,28,4972,2587,2061,0
"24","mmm","glm",5000,100,0.1,2,8,0.075,0,0,0,31,31,4969,7603,4046,0
"25","mmm","glm",5000,25,0.1,8,2,0.1,0,0,0,43,43,4957,541,523,18
"26","mmm","glm",5000,50,0.1,8,2,0.1,0,0,0,101,100,4900,1606,1462,144
"27","mmm","glm",5000,100,0.1,8,2,0.1,0,0,0,137,135,4865,4557,3531,1026
"28","mmm","glm",5000,25,0.1,2,8,0.1,0,0,0,13,13,4987,2111,1769,0
"29","mmm","glm",5000,50,0.1,2,8,0.1,0,0,0,25,25,4975,6666,3815,0
"30","mmm","glm",5000,100,0.1,2,8,0.1,0,0,0,30,30,4970,18185,4959,4
"31","mmm","glm",5000,25,0.1,8,2,0.125,0,0,0,36,35,4965,1118,1072,46
"32","mmm","glm",5000,50,0.1,8,2,0.125,0,0,0,91,90,4910,3486,2892,594
"33","mmm","glm",5000,100,0.1,8,2,0.125,0,0,0,152,151,4849,7606,4718,2888
"34","mmm","glm",5000,25,0.1,2,8,0.125,0,0,0,13,13,4987,4800,3210,0
"35","mmm","glm",5000,50,0.1,2,8,0.125,0,0,0,28,28,4972,13834,4844,1
"36","mmm","glm",5000,100,0.1,2,8,0.125,0,0,0,33,33,4967,30341,5000,541
"37","mmm","glm",5000,25,0.1,8,2,0.15,0,0,0,40,40,4960,2316,2047,269
"38","mmm","glm",5000,50,0.1,8,2,0.15,0,0,0,88,86,4914,5817,4134,1683
"39","mmm","glm",5000,100,0.1,8,2,0.15,0,0,0,158,154,4846,9447,4988,4459
"40","mmm","glm",5000,25,0.1,2,8,0.15,0,0,0,10,10,4990,9237,4367,0
"41","mmm","glm",5000,50,0.1,2,8,0.15,0,0,0,28,28,4972,23643,4995,79
"42","mmm","glm",5000,100,0.1,2,8,0.15,0,0,0,44,44,4956,37667,5000,3066
"43","mmm","glm",5000,25,0.1,8,2,0.175,0,0,0,31,31,4969,3919,3134,785
"44","mmm","glm",5000,50,0.1,8,2,0.175,0,0,0,75,74,4926,8127,4808,3319
"45","mmm","glm",5000,100,0.1,8,2,0.175,0,0,0,143,142,4858,9922,5000,4922
"46","mmm","glm",5000,25,0.1,2,8,0.175,0,0,0,14,14,4986,15452,4893,2
"47","mmm","glm",5000,50,0.1,2,8,0.175,0,0,0,20,20,4980,32294,5000,884
"48","mmm","glm",5000,100,0.1,2,8,0.175,0,0,0,23,23,4977,39750,5000,4756
"49","mmm","glm",5000,25,0.1,8,2,0.2,0,0,0,40,40,4960,5815,4157,1658
"50","mmm","glm",5000,50,0.1,8,2,0.2,0,0,0,108,108,4892,9399,4986,4413
"51","mmm","glm",5000,100,0.1,8,2,0.2,0,0,0,137,135,4865,9995,5000,4995
"52","mmm","glm",5000,25,0.1,2,8,0.2,0,0,0,9,9,4991,23234,4994,61
"53","mmm","glm",5000,50,0.1,2,8,0.2,0,0,0,21,21,4979,37603,5000,3042
"54","mmm","glm",5000,100,0.1,2,8,0.2,0,0,0,29,29,4971,39982,5000,4982
"55","mmm","glm",5000,25,0.1,8,2,0.001,0.5,0,0,54,49,4951,20,19,1
"56","mmm","glm",5000,50,0.1,8,2,0.001,0.5,0,0,129,108,4892,27,27,0
"57","mmm","glm",5000,100,0.1,8,2,0.001,0.5,0,0,166,136,4864,42,42,0
"58","mmm","glm",5000,25,0.1,2,8,0.001,0.5,0,0,13,12,4988,52,45,0
"59","mmm","glm",5000,50,0.1,2,8,0.001,0.5,0,0,37,35,4965,113,85,0
"60","mmm","glm",5000,100,0.1,2,8,0.001,0.5,0,0,38,36,4964,163,138,0
"61","mmm","glm",5000,25,0.1,8,2,0.025,0.5,0,0,51,42,4958,25,22,3
"62","mmm","glm",5000,50,0.1,8,2,0.025,0.5,0,0,128,105,4895,96,89,7
"63","mmm","glm",5000,100,0.1,8,2,0.025,0.5,0,0,169,131,4869,143,130,13
"64","mmm","glm",5000,25,0.1,2,8,0.025,0.5,0,0,23,22,4978,137,106,0
"65","mmm","glm",5000,50,0.1,2,8,0.025,0.5,0,0,34,32,4968,314,225,0
"66","mmm","glm",5000,100,0.1,2,8,0.025,0.5,0,0,38,35,4965,532,351,0
"67","mmm","glm",5000,25,0.1,8,2,0.05,0.5,0,0,44,38,4962,104,95,9
"68","mmm","glm",5000,50,0.1,8,2,0.05,0.5,0,0,115,90,4910,275,250,25
"69","mmm","glm",5000,100,0.1,8,2,0.05,0.5,0,0,137,117,4883,644,546,98
"70","mmm","glm",5000,25,0.1,2,8,0.05,0.5,0,0,8,8,4992,407,279,0
"71","mmm","glm",5000,50,0.1,2,8,0.05,0.5,0,0,26,25,4975,1003,617,0
"72","mmm","glm",5000,100,0.1,2,8,0.05,0.5,0,0,36,33,4967,2368,1251,5
"73","mmm","glm",5000,25,0.1,8,2,0.075,0.5,0,0,55,46,4954,251,229,22
"74","mmm","glm",5000,50,0.1,8,2,0.075,0.5,0,0,109,89,4911,791,676,115
"75","mmm","glm",5000,100,0.1,8,2,0.075,0.5,0,0,160,139,4861,2117,1663,454
"76","mmm","glm",5000,25,0.1,2,8,0.075,0.5,0,0,25,24,4976,943,593,0
"77","mmm","glm",5000,50,0.1,2,8,0.075,0.5,0,0,26,25,4975,3168,1504,4
"78","mmm","glm",5000,100,0.1,2,8,0.075,0.5,0,0,46,45,4955,8157,2871,60
"79","mmm","glm",5000,25,0.1,8,2,0.1,0.5,0,0,52,46,4954,603,536,67
"80","mmm","glm",5000,50,0.1,8,2,0.1,0.5,0,0,126,101,4899,2011,1555,456
"81","mmm","glm",5000,100,0.1,8,2,0.1,0.5,0,0,142,113,4887,4737,3220,1517
"82","mmm","glm",5000,25,0.1,2,8,0.1,0.5,0,0,11,11,4989,2413,1245,2
"83","mmm","glm",5000,50,0.1,2,8,0.1,0.5,0,0,21,21,4979,7715,2815,48
"84","mmm","glm",5000,100,0.1,2,8,0.1,0.5,0,0,36,35,4965,19001,4316,473
"85","mmm","glm",5000,25,0.1,8,2,0.125,0.5,0,0,51,42,4958,1310,1088,222
"86","mmm","glm",5000,50,0.1,8,2,0.125,0.5,0,0,114,93,4907,3828,2755,1073
"87","mmm","glm",5000,100,0.1,8,2,0.125,0.5,0,0,181,151,4849,7786,4491,3295
"88","mmm","glm",5000,25,0.1,2,8,0.125,0.5,0,0,20,20,4980,5114,2155,15
"89","mmm","glm",5000,50,0.1,2,8,0.125,0.5,0,0,44,43,4957,15334,3975,288
"90","mmm","glm",5000,100,0.1,2,8,0.125,0.5,0,0,36,36,4964,31082,4922,1907
"91","mmm","glm",5000,25,0.1,8,2,0.15,0.5,0,0,60,48,4952,2465,1889,576
"92","mmm","glm",5000,50,0.1,8,2,0.15,0.5,0,0,120,101,4899,6334,3945,2389
"93","mmm","glm",5000,100,0.1,8,2,0.15,0.5,0,0,162,135,4865,9471,4929,4542
"94","mmm","glm",5000,25,0.1,2,8,0.15,0.5,0,0,9,9,4991,9613,3150,79
"95","mmm","glm",5000,50,0.1,2,8,0.15,0.5,0,0,31,29,4971,25208,4756,1020
"96","mmm","glm",5000,100,0.1,2,8,0.15,0.5,0,0,37,35,4965,37943,4997,3901
"97","mmm","glm",5000,25,0.1,8,2,0.175,0.5,0,0,43,37,4963,4121,2848,1273
"98","mmm","glm",5000,50,0.1,8,2,0.175,0.5,0,0,124,103,4897,8353,4654,3699
"99","mmm","glm",5000,100,0.1,8,2,0.175,0.5,0,0,175,147,4853,9952,4997,4955
"100","mmm","glm",5000,25,0.1,2,8,0.175,0.5,0,0,8,7,4993,15883,4028,312
"101","mmm","glm",5000,50,0.1,2,8,0.175,0.5,0,0,31,29,4971,33289,4945,2380
"102","mmm","glm",5000,100,0.1,2,8,0.175,0.5,0,0,49,46,4954,39765,5000,4817
"103","mmm","glm",5000,25,0.1,8,2,0.2,0.5,0,0,64,51,4949,6034,3819,2215
"104","mmm","glm",5000,50,0.1,8,2,0.2,0.5,0,0,114,101,4899,9490,4937,4553
"105","mmm","glm",5000,100,0.1,8,2,0.2,0.5,0,0,162,129,4871,9996,5000,4996
"106","mmm","glm",5000,25,0.1,2,8,0.2,0.5,0,0,20,20,4980,23415,4644,800
"107","mmm","glm",5000,50,0.1,2,8,0.2,0.5,0,0,31,30,4970,37902,4998,3857
"108","mmm","glm",5000,100,0.1,2,8,0.2,0.5,0,0,50,48,4952,39981,5000,4985
"109","mmm","glm",5000,25,0.1,8,2,0.001,0.9,0,0,159,62,4938,51,36,15
"110","mmm","glm",5000,50,0.1,8,2,0.001,0.9,0,0,256,91,4909,80,62,18
"111","mmm","glm",5000,100,0.1,8,2,0.001,0.9,0,0,337,138,4862,96,72,24
"112","mmm","glm",5000,25,0.1,2,8,0.001,0.9,0,0,49,33,4967,167,55,2
"113","mmm","glm",5000,50,0.1,2,8,0.001,0.9,0,0,50,39,4961,295,103,7
"114","mmm","glm",5000,100,0.1,2,8,0.001,0.9,0,0,95,69,4931,331,120,8
"115","mmm","glm",5000,25,0.1,8,2,0.025,0.9,0,0,210,66,4934,94,67,27
"116","mmm","glm",5000,50,0.1,8,2,0.025,0.9,0,0,322,105,4895,155,113,42
"117","mmm","glm",5000,100,0.1,8,2,0.025,0.9,0,0,402,127,4873,290,196,94
"118","mmm","glm",5000,25,0.1,2,8,0.025,0.9,0,0,44,35,4965,408,122,10
"119","mmm","glm",5000,50,0.1,2,8,0.025,0.9,0,0,73,55,4945,701,223,16
"120","mmm","glm",5000,100,0.1,2,8,0.025,0.9,0,0,83,68,4932,914,296,21
"121","mmm","glm",5000,25,0.1,8,2,0.05,0.9,0,0,169,55,4945,218,150,68
"122","mmm","glm",5000,50,0.1,8,2,0.05,0.9,0,0,305,102,4898,406,282,124
"123","mmm","glm",5000,100,0.1,8,2,0.05,0.9,0,0,380,132,4868,943,621,322
"124","mmm","glm",5000,25,0.1,2,8,0.05,0.9,0,0,36,26,4974,871,242,32
"125","mmm","glm",5000,50,0.1,2,8,0.05,0.9,0,0,80,61,4939,1764,463,69
"126","mmm","glm",5000,100,0.1,2,8,0.05,0.9,0,0,83,55,4945,3863,908,178
"127","mmm","glm",5000,25,0.1,8,2,0.075,0.9,0,0,192,63,4937,484,326,158
"128","mmm","glm",5000,50,0.1,8,2,0.075,0.9,0,0,279,93,4907,1130,734,396
"129","mmm","glm",5000,100,0.1,8,2,0.075,0.9,0,0,418,129,4871,2780,1660,1120
"130","mmm","glm",5000,25,0.1,2,8,0.075,0.9,0,0,37,28,4972,1807,472,64
"131","mmm","glm",5000,50,0.1,2,8,0.075,0.9,0,0,88,62,4938,4614,1067,211
"132","mmm","glm",5000,100,0.1,2,8,0.075,0.9,0,0,113,81,4919,11167,2215,661
"133","mmm","glm",5000,25,0.1,8,2,0.1,0.9,0,0,196,55,4945,1102,708,394
"134","mmm","glm",5000,50,0.1,8,2,0.1,0.9,0,0,272,98,4902,2689,1637,1052
"135","mmm","glm",5000,100,0.1,8,2,0.1,0.9,0,0,310,112,4888,5603,3150,2453
"136","mmm","glm",5000,25,0.1,2,8,0.1,0.9,0,0,43,33,4967,3988,926,166
"137","mmm","glm",5000,50,0.1,2,8,0.1,0.9,0,0,80,55,4945,10277,2037,599
"138","mmm","glm",5000,100,0.1,2,8,0.1,0.9,0,0,91,71,4929,22668,3685,1896
"139","mmm","glm",5000,25,0.1,8,2,0.125,0.9,0,0,181,61,4939,2015,1254,761
"140","mmm","glm",5000,50,0.1,8,2,0.125,0.9,0,0,267,100,4900,4650,2696,1954
"141","mmm","glm",5000,100,0.1,8,2,0.125,0.9,0,0,365,132,4868,8353,4415,3938
"142","mmm","glm",5000,25,0.1,2,8,0.125,0.9,0,0,32,23,4977,7830,1643,427
"143","mmm","glm",5000,50,0.1,2,8,0.125,0.9,0,0,58,42,4958,19253,3277,1446
"144","mmm","glm",5000,100,0.1,2,8,0.125,0.9,0,0,85,61,4939,33481,4640,3506
"145","mmm","glm",5000,25,0.1,8,2,0.15,0.9,0,0,167,50,4950,3462,2041,1421
"146","mmm","glm",5000,50,0.1,8,2,0.15,0.9,0,0,288,100,4900,7024,3803,3221
"147","mmm","glm",5000,100,0.1,8,2,0.15,0.9,0,0,329,121,4879,9657,4889,4768
"148","mmm","glm",5000,25,0.1,2,8,0.15,0.9,0,0,48,33,4967,13578,2506,931
"149","mmm","glm",5000,50,0.1,2,8,0.15,0.9,0,0,85,67,4933,28535,4237,2683
"150","mmm","glm",5000,100,0.1,2,8,0.15,0.9,0,0,79,61,4939,38792,4949,4658
"151","mmm","glm",5000,25,0.1,8,2,0.175,0.9,0,0,169,62,4938,5174,2925,2249
"152","mmm","glm",5000,50,0.1,8,2,0.175,0.9,0,0,198,73,4927,8836,4582,4254
"153","mmm","glm",5000,100,0.1,8,2,0.175,0.9,0,0,442,145,4855,9961,4990,4971
"154","mmm","glm",5000,25,0.1,2,8,0.175,0.9,0,0,26,22,4978,20710,3433,1630
"155","mmm","glm",5000,50,0.1,2,8,0.175,0.9,0,0,85,63,4937,35468,4787,3878
"156","mmm","glm",5000,100,0.1,2,8,0.175,0.9,0,0,93,72,4928,39913,4998,4962
"157","mmm","glm",5000,25,0.1,8,2,0.2,0.9,0,0,172,54,4946,7110,3850,3260
"158","mmm","glm",5000,50,0.1,8,2,0.2,0.9,0,0,266,103,4897,9662,4899,4763
"159","mmm","glm",5000,100,0.1,8,2,0.2,0.9,0,0,408,137,4863,9999,5000,4999
"160","mmm","glm",5000,25,0.1,2,8,0.2,0.9,0,0,33,25,4975,27963,4171,2615
"161","mmm","glm",5000,50,0.1,2,8,0.2,0.9,0,0,65,49,4951,38711,4943,4631
