"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bonf","glm",1667,25,0,0,0,32,31,1636,0,0,0
"mmm","glm",1667,25,0,0,89,24,23,1555,1,1,0
"bt","glm",1667,25,0,0,0,82,72,1595,4,4,0
"bonf","bglm",1667,25,0,0,0,19,18,1649,2,2,0
"mmm","bglm",1667,25,0,0,0,33,32,1635,4,4,0
"bt","bglm",1667,25,0,0,0,73,68,1599,14,14,0
"bonf","glm",1667,50,0,0,0,47,43,1624,17,17,0
"mmm","glm",1667,50,0,0,11,59,57,1599,16,16,0
"bt","glm",1667,50,0,0,0,86,78,1589,23,23,0
"bonf","bglm",1667,50,0,0,0,29,29,1638,41,41,0
"mmm","bglm",1667,50,0,0,0,33,30,1637,52,52,0
"bt","bglm",1667,50,0,0,0,65,60,1607,70,70,0
"bonf","glm",1667,25,0.5,0,0,21,18,1649,0,0,0
"mmm","glm",1667,25,0.5,0,84,21,19,1564,0,0,0
"bt","glm",1667,25,0.5,0,0,126,96,1571,3,3,0
"bonf","bglm",1667,25,0.5,0,0,13,13,1654,4,4,0
"mmm","bglm",1667,25,0.5,0,0,34,30,1637,7,6,1
"bt","bglm",1667,25,0.5,0,0,108,81,1586,29,27,2
"bonf","glm",1667,50,0.5,0,0,66,55,1612,14,12,2
"mmm","glm",1667,50,0.5,0,5,51,43,1619,24,23,1
"bt","glm",1667,50,0.5,0,0,97,71,1596,21,21,0
"bonf","bglm",1667,50,0.5,0,0,26,25,1642,45,41,4
"mmm","bglm",1667,50,0.5,0,0,53,39,1628,44,38,6
"bt","bglm",1667,50,0.5,0,0,74,60,1607,97,86,11
"bonf","glm",1667,25,0.9,0,0,33,8,1659,0,0,0
"mmm","glm",1667,25,0.9,0,54,98,30,1583,1,1,0
"bt","glm",1667,25,0.9,0,0,280,86,1581,5,3,2
"bonf","bglm",1667,25,0.9,0,0,20,11,1656,4,3,1
"mmm","bglm",1667,25,0.9,0,0,88,27,1640,11,9,2
"bt","bglm",1667,25,0.9,0,0,250,64,1603,59,39,20
"bonf","glm",1667,50,0.9,0,0,62,21,1646,12,9,3
"mmm","glm",1667,50,0.9,0,7,135,46,1614,59,40,19
"bt","glm",1667,50,0.9,0,0,235,82,1585,138,95,43
"bonf","bglm",1667,50,0.9,0,0,29,13,1654,37,26,11
"mmm","bglm",1667,50,0.9,0,0,92,27,1640,103,71,32
"bt","bglm",1667,50,0.9,0,0,171,58,1609,163,115,45
"bonf","glm",1667,25,0,0,0,37,35,1632,0,0,0
"mmm","glm",1667,25,0,0,83,18,18,1566,0,0,0
"bt","glm",1667,25,0,0,0,92,83,1584,1,1,0
"bonf","bglm",1667,25,0,0,0,17,17,1650,3,3,0
"mmm","bglm",1667,25,0,0,0,14,14,1653,1,1,0
"bt","bglm",1667,25,0,0,0,79,70,1597,20,20,0
"bonf","glm",1667,50,0,0,0,55,53,1614,9,9,0
"mmm","glm",1667,50,0,0,4,48,45,1618,11,11,0
"bt","glm",1667,50,0,0,0,92,82,1585,25,24,1
"bonf","bglm",1667,50,0,0,0,33,30,1637,31,31,0
"mmm","bglm",1667,50,0,0,0,38,36,1631,46,46,0
"bt","bglm",1667,50,0,0,0,65,60,1607,60,60,0
"bonf","glm",1667,25,0.5,0,0,31,25,1642,0,0,0
"mmm","glm",1667,25,0.5,0,77,22,17,1573,0,0,0
"bt","glm",1667,25,0.5,0,0,99,79,1588,6,6,0
"bonf","bglm",1667,25,0.5,0,0,22,17,1650,4,4,0
"mmm","bglm",1667,25,0.5,0,0,26,22,1645,3,3,0
"bt","bglm",1667,25,0.5,0,0,81,66,1601,18,17,1
"bonf","glm",1667,50,0.5,0,0,59,49,1618,8,7,1
"mmm","glm",1667,50,0.5,0,6,68,57,1604,20,20,0
"bt","glm",1667,50,0.5,0,0,112,89,1578,54,50,4
"bonf","bglm",1667,50,0.5,0,0,31,28,1639,48,45,3
"mmm","bglm",1667,50,0.5,0,0,50,40,1627,51,49,2
"bt","bglm",1667,50,0.5,0,0,85,62,1605,102,96,6
"bonf","glm",1667,25,0.9,0,0,27,12,1655,0,0,0
"mmm","glm",1667,25,0.9,0,87,80,35,1545,2,1,1
"bt","glm",1667,25,0.9,0,0,260,85,1582,6,4,2
"bonf","bglm",1667,25,0.9,0,0,35,13,1654,3,3,0
"mmm","bglm",1667,25,0.9,0,0,106,39,1628,10,9,1
"bt","bglm",1667,25,0.9,0,0,160,53,1614,75,56,19
"bonf","glm",1667,50,0.9,0,0,65,24,1643,13,7,6
"mmm","glm",1667,50,0.9,0,7,89,42,1618,79,54,25
"bt","glm",1667,50,0.9,0,0,263,82,1585,121,84,37
"bonf","bglm",1667,50,0.9,0,0,27,11,1656,46,34,12
"mmm","bglm",1667,50,0.9,0,0,83,33,1634,108,76,32
"bt","bglm",1667,50,0.9,0,0,178,64,1603,183,124,59
"bonf","glm",1667,25,0,0,0,25,23,1644,0,0,0
"mmm","glm",1667,25,0,0,93,24,23,1551,0,0,0
"bt","glm",1667,25,0,0,0,97,90,1577,1,1,0
"bonf","bglm",1667,25,0,0,0,14,14,1653,3,3,0
"mmm","bglm",1667,25,0,0,0,33,32,1635,4,4,0
"bt","bglm",1667,25,0,0,0,88,81,1586,17,17,0
"bonf","glm",1667,50,0,0,0,45,40,1627,13,13,0
"mmm","glm",1667,50,0,0,13,65,63,1591,12,12,0
"bt","glm",1667,50,0,0,0,111,100,1567,18,18,0
"bonf","bglm",1667,50,0,0,0,34,34,1633,44,43,1
"mmm","bglm",1667,50,0,0,0,36,36,1631,34,34,0
"bt","bglm",1667,50,0,0,0,66,64,1603,75,73,2
"bonf","glm",1667,25,0.5,0,0,35,24,1643,0,0,0
"mmm","glm",1667,25,0.5,0,102,26,24,1541,0,0,0
"bt","glm",1667,25,0.5,0,0,119,93,1574,2,2,0
"bonf","bglm",1667,25,0.5,0,0,16,14,1653,3,3,0
"mmm","bglm",1667,25,0.5,0,0,38,34,1633,9,8,1
"bt","bglm",1667,25,0.5,0,0,73,54,1613,21,20,1
"bonf","glm",1667,50,0.5,0,0,55,45,1622,10,10,0
"mmm","glm",1667,50,0.5,0,10,68,56,1601,16,16,0
"bt","glm",1667,50,0.5,0,0,109,84,1583,33,31,2
"bonf","bglm",1667,50,0.5,0,0,31,28,1639,44,42,2
"mmm","bglm",1667,50,0.5,0,0,40,33,1634,57,51,6
"bt","bglm",1667,50,0.5,0,0,51,44,1623,83,77,6
"bonf","glm",1667,25,0.9,0,0,19,11,1656,0,0,0
"mmm","glm",1667,25,0.9,0,86,120,37,1544,0,0,0
"bt","glm",1667,25,0.9,0,0,310,90,1577,7,6,1
"bonf","bglm",1667,25,0.9,0,0,21,9,1658,1,1,0
"mmm","bglm",1667,25,0.9,0,0,58,23,1644,17,15,2
"bt","bglm",1667,25,0.9,0,0,209,75,1592,83,51,32
"bonf","glm",1667,50,0.9,0,0,50,24,1643,16,11,5
"mmm","glm",1667,50,0.9,0,6,157,56,1605,52,36,16
"bt","glm",1667,50,0.9,0,0,259,84,1583,130,92,38
"bonf","bglm",1667,50,0.9,0,0,30,15,1652,34,22,12
"mmm","bglm",1667,50,0.9,0,0,114,38,1629,132,88,44
"bt","bglm",1667,50,0.9,0,0,177,70,1597,220,145,75
"bonf","glm",1667,25,0,0,0,35,34,1633,0,0,0
"mmm","glm",1667,25,0,0,99,27,25,1543,0,0,0
"bt","glm",1667,25,0,0,0,81,76,1591,4,4,0
"bonf","bglm",1667,25,0,0,0,21,21,1646,1,1,0
"mmm","bglm",1667,25,0,0,0,18,18,1649,3,3,0
"bt","bglm",1667,25,0,0,0,70,68,1599,18,18,0
"bonf","glm",1667,50,0,0,0,54,53,1614,10,10,0
"mmm","glm",1667,50,0,0,5,44,44,1618,17,17,0
"bt","glm",1667,50,0,0,0,97,91,1576,28,28,0
"bonf","bglm",1667,50,0,0,0,19,19,1648,49,47,2
"mmm","bglm",1667,50,0,0,0,29,26,1641,53,52,1
"bt","bglm",1667,50,0,0,0,63,60,1607,82,82,0
"bonf","glm",1667,25,0.5,0,0,30,22,1645,0,0,0
"mmm","glm",1667,25,0.5,0,74,31,25,1568,0,0,0
"bt","glm",1667,25,0.5,0,0,128,99,1568,3,3,0
"bonf","bglm",1667,25,0.5,0,0,34,33,1634,3,3,0
"mmm","bglm",1667,25,0.5,0,0,24,22,1645,5,5,0
"bt","bglm",1667,25,0.5,0,0,76,60,1607,21,19,2
"bonf","glm",1667,50,0.5,0,0,45,38,1629,10,8,2
"mmm","glm",1667,50,0.5,0,3,66,61,1603,15,14,1
"bt","glm",1667,50,0.5,0,0,104,69,1598,31,29,2
"bonf","bglm",1667,50,0.5,0,0,30,25,1642,40,36,4
"mmm","bglm",1667,50,0.5,0,0,43,37,1630,50,47,3
"bt","bglm",1667,50,0.5,0,0,90,63,1604,103,93,10
"bonf","glm",1667,25,0.9,0,0,27,9,1658,0,0,0
"mmm","glm",1667,25,0.9,0,82,80,28,1557,0,0,0
"bt","glm",1667,25,0.9,0,0,279,95,1572,8,7,1
"bonf","bglm",1667,25,0.9,0,0,15,5,1662,1,1,0
"mmm","bglm",1667,25,0.9,0,0,72,25,1642,26,20,6
"bt","bglm",1667,25,0.9,0,0,148,56,1611,52,39,13
"bonf","glm",1667,50,0.9,0,0,62,27,1640,7,5,2
"mmm","glm",1667,50,0.9,0,11,158,55,1601,35,26,9
"bt","glm",1667,50,0.9,0,0,207,76,1591,110,78,32
"bonf","bglm",1667,50,0.9,0,0,69,26,1641,45,32,13
"mmm","bglm",1667,50,0.9,0,0,109,43,1624,96,67,29
"bt","bglm",1667,50,0.9,0,0,205,61,1606,216,143,73
"bonf","glm",1667,25,0,0,0,37,36,1631,0,0,0
"mmm","glm",1667,25,0,0,78,28,26,1563,1,1,0
"bt","glm",1667,25,0,0,0,98,88,1579,1,1,0
"bonf","bglm",1667,25,0,0,0,17,16,1651,2,2,0
"mmm","bglm",1667,25,0,0,0,30,30,1637,5,5,0
"bt","bglm",1667,25,0,0,0,65,63,1604,24,24,0
"bonf","glm",1667,50,0,0,0,53,52,1615,13,13,0
"mmm","glm",1667,50,0,0,4,52,49,1614,14,14,0
"bt","glm",1667,50,0,0,0,95,86,1581,24,24,0
"bonf","bglm",1667,50,0,0,0,42,39,1628,41,41,0
"mmm","bglm",1667,50,0,0,0,38,35,1632,43,43,0
"bt","bglm",1667,50,0,0,0,74,67,1600,76,76,0
"bonf","glm",1667,25,0.5,0,0,19,17,1650,0,0,0
"mmm","glm",1667,25,0.5,0,73,25,21,1573,0,0,0
"bt","glm",1667,25,0.5,0,0,125,94,1573,1,1,0
"bonf","bglm",1667,25,0.5,0,0,17,16,1651,4,4,0
"mmm","bglm",1667,25,0.5,0,0,17,16,1651,4,4,0
"bt","bglm",1667,25,0.5,0,0,89,65,1602,29,25,4
"bonf","glm",1667,50,0.5,0,0,63,49,1618,4,4,0
"mmm","glm",1667,50,0.5,0,11,61,42,1614,15,15,0
"bt","glm",1667,50,0.5,0,0,102,77,1590,40,38,2
"bonf","bglm",1667,50,0.5,0,0,35,30,1637,47,46,1
"mmm","bglm",1667,50,0.5,0,0,50,35,1632,70,67,3
"bt","bglm",1667,50,0.5,0,0,84,66,1601,83,72,11
"bonf","glm",1667,25,0.9,0,0,12,8,1659,0,0,0
"mmm","glm",1667,25,0.9,0,85,74,33,1549,4,3,1
"bt","glm",1667,25,0.9,0,0,218,83,1584,8,5,3
"bonf","bglm",1667,25,0.9,0,0,31,12,1655,2,2,0
"mmm","bglm",1667,25,0.9,0,0,92,36,1631,10,7,3
"bt","bglm",1667,25,0.9,0,0,184,64,1603,51,35,16
"bonf","glm",1667,50,0.9,0,0,38,15,1652,13,10,3
"mmm","glm",1667,50,0.9,0,10,119,42,1615,43,31,12
"bt","glm",1667,50,0.9,0,0,222,74,1593,130,86,44
"bonf","bglm",1667,50,0.9,0,0,26,14,1653,39,29,10
"mmm","bglm",1667,50,0.9,0,0,64,33,1634,105,77,28
"bt","bglm",1667,50,0.9,0,0,171,58,1609,205,141,62
"bonf","glm",1667,25,0,0,0,29,29,1638,0,0,0
"mmm","glm",1667,25,0,0,90,19,19,1558,0,0,0
"bt","glm",1667,25,0,0,0,105,101,1566,1,1,0
"bonf","bglm",1667,25,0,0,0,21,21,1646,0,0,0
"mmm","bglm",1667,25,0,0,0,27,25,1642,1,1,0
"bt","bglm",1667,25,0,0,0,67,60,1607,25,25,0
"bonf","glm",1667,50,0,0,0,44,41,1626,10,10,0
"mmm","glm",1667,50,0,0,5,64,56,1606,16,16,0
"bt","glm",1667,50,0,0,0,99,95,1572,19,18,1
"bonf","bglm",1667,50,0,0,0,40,38,1629,23,23,0
"mmm","bglm",1667,50,0,0,0,40,38,1629,48,48,0
"bt","bglm",1667,50,0,0,0,57,54,1613,78,77,1
"bonf","glm",1667,25,0.5,0,0,40,36,1631,0,0,0
"mmm","glm",1667,25,0.5,0,84,30,26,1557,0,0,0
"bt","glm",1667,25,0.5,0,0,100,76,1591,1,1,0
"bonf","bglm",1667,25,0.5,0,0,14,14,1653,3,3,0
"mmm","bglm",1667,25,0.5,0,0,32,23,1644,7,7,0
"bt","bglm",1667,25,0.5,0,0,78,61,1606,25,23,2
"bonf","glm",1667,50,0.5,0,0,53,47,1620,7,7,0
"mmm","glm",1667,50,0.5,0,5,90,55,1607,23,20,3
"bt","glm",1667,50,0.5,0,0,93,80,1587,50,44,6
"bonf","bglm",1667,50,0.5,0,0,31,26,1641,40,38,2
"mmm","bglm",1667,50,0.5,0,0,55,45,1622,44,43,1
"bt","bglm",1667,50,0.5,0,0,61,50,1617,93,84,9
"bonf","glm",1667,25,0.9,0,0,25,11,1656,0,0,0
"mmm","glm",1667,25,0.9,0,93,105,32,1542,0,0,0
"bt","glm",1667,25,0.9,0,0,212,82,1585,4,4,0
"bonf","bglm",1667,25,0.9,0,0,30,11,1656,2,2,0
"mmm","bglm",1667,25,0.9,0,0,87,43,1624,19,14,5
"bt","bglm",1667,25,0.9,0,0,216,78,1589,75,52,20
"bonf","glm",1667,50,0.9,0,0,40,17,1650,13,10,3
"mmm","glm",1667,50,0.9,0,14,92,36,1617,60,39,21
"bt","glm",1667,50,0.9,0,0,289,90,1577,103,74,29
"bonf","bglm",1667,50,0.9,0,0,43,15,1652,40,32,8
"mmm","bglm",1667,50,0.9,0,0,133,44,1623,139,93,46
"bt","bglm",1667,50,0.9,0,0,141,57,1610,184,119,63
